web-scraper-order,web-scraper-start-url,produk,produk-href,nama,harga
"1618516429-423","https://shopee.co.id/Handphone-Tablet-cat.40.1211","V TRI 6GB + UNLI LOKALRp62.0006,1RB TerjualKAB. SEMARANG","https://shopee.co.id/V-TRI-6GB-UNLI-LOKAL-i.17356017.4735933151","V TRI 6GB + UNLI LOKAL","Rp62.000"
"1618516389-421","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Axis 2GB onyou LOKALRp10.55010RB+ TerjualKOTA SALATIGA","https://shopee.co.id/Axis-2GB-onyou-LOKAL-i.48470237.2872503866","Axis 2GB onyou LOKAL","Rp10.550"
"1618516596-432","https://shopee.co.id/Handphone-Tablet-cat.40.1211","VIVO V20 2021 8/128GB GARANSI RESMI VIVO INDONESIAGrosirRp4.349.00010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/VIVO-V20-2021-8-128GB-GARANSI-RESMI-VIVO-INDONESIA-i.9344346.232171537","VIVO V20 2021 8/128GB GARANSI RESMI VIVO INDONESIA","Rp4.349.000"
"1618516349-419","https://shopee.co.id/Handphone-Tablet-cat.40.1211","[VOCER] smartfren 4gbRp9.80010RB+ TerjualKOTA SALATIGA","https://shopee.co.id/-VOCER-smartfren-4gb-i.72502285.2147018869","[VOCER] smartfren 4gb","Rp9.800"
"1618516504-427","https://shopee.co.id/Handphone-Tablet-cat.40.1211","INDOSAT 1GB UNLIMITED 30 HRRp24.50010RB+ TerjualKAB. PASURUAN","https://shopee.co.id/INDOSAT-1GB-UNLIMITED-30-HR-i.189885451.7302597293","INDOSAT 1GB UNLIMITED 30 HR","Rp24.500"
"1618516615-433","https://shopee.co.id/Handphone-Tablet-cat.40.1211","HANDPHONE FLIP UNIK TERLARIS 2020Rp199.0002,1RB TerjualKOTA TANGERANG","https://shopee.co.id/HANDPHONE-FLIP-UNIK-TERLARIS-2020-i.256147470.5235235272","HANDPHONE FLIP UNIK TERLARIS 2020","Rp199.000"
"1618516448-424","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Tri aon 6GB + UnlimitedRp61.5008,3RB TerjualKOTA SEMARANG","https://shopee.co.id/Tri-aon-6GB-Unlimited-i.234455318.3630958814","Tri aon 6GB + Unlimited","Rp61.500"
"1618516540-429","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Nokia 105 Garansi Resmi TAmRp250.000 - Rp1.250.0001,2RB TerjualKAB. BANJARNEGARA","https://shopee.co.id/Nokia-105-Garansi-Resmi-TAm-i.54435901.1705430465","Nokia 105 Garansi Resmi TAm","Rp250.000 - Rp1.250.000"
"1618516411-422","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Star+14%offVivo Y12S 3GB 32GB BNIB GARANSI RESMI Original handphone VIVOY12S Termuarh hp vivo y12s y12i y12 CODDiskon Rp20RBRp1.659.000 - Rp1.819.0001,8RB TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Vivo-Y12S-3GB-32GB-BNIB-GARANSI-RESMI-Original-handphone-VIVOY12S-Termuarh-hp-vivo-y12s-y12i-y12-COD-i.265051986.5235098517","Vivo Y12S 3GB 32GB BNIB GARANSI RESMI Original handphone VIVOY12S Termuarh hp vivo y12s y12i y12 COD","Rp1.659.000 - Rp1.819.000"
"1618516466-425","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Nokia 105 TAMRp625.000 - Rp2.000.000997 TerjualKAB. KENDAL","https://shopee.co.id/Nokia-105-TAM-i.37533259.7554873069","Nokia 105 TAM","Rp625.000 - Rp2.000.000"
"1618516485-426","https://shopee.co.id/Handphone-Tablet-cat.40.1211","NOKIA 105 NEW 2017 DUAL SIM GARANSI RESMI TAMRp350.000 - Rp625.0001,3RB TerjualKAB. DEMAK","https://shopee.co.id/NOKIA-105-NEW-2017-DUAL-SIM-GARANSI-RESMI-TAM-i.34076085.2795487738","NOKIA 105 NEW 2017 DUAL SIM GARANSI RESMI TAM","Rp350.000 - Rp625.000"
"1618516578-431","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Aigo 1gb 5hariMurah LebayRp7.56510RB+ TerjualKAB. INDRAMAYU","https://shopee.co.id/Aigo-1gb-5hari-i.37810351.6041868095","Aigo 1gb 5hari","Rp7.565"
"1618516368-420","https://shopee.co.id/Handphone-Tablet-cat.40.1211","Nokia 105 dual SIMRp210.000 - Rp670.0002RB TerjualKAB. KENDAL","https://shopee.co.id/Nokia-105-dual-SIM-i.37533259.1614700733","Nokia 105 dual SIM","Rp210.000 - Rp670.000"
"1618516522-428","https://shopee.co.id/Handphone-Tablet-cat.40.1211","[VCR] SMARTFREN UNLIMITED 7HARIMurah LebayRp19.75010RB+ TerjualKOTA SALATIGA","https://shopee.co.id/-VCR-SMARTFREN-UNLIMITED-7HARI-i.72502285.3163623137","[VCR] SMARTFREN UNLIMITED 7HARI","Rp19.750"
"1618516559-430","https://shopee.co.id/Handphone-Tablet-cat.40.1211","VIVO Y51 8/128GB GARANSI RESMI VIVO INDONESIAGrosirRp3.399.0005,3RB TerjualKOTA BANDUNG","https://shopee.co.id/VIVO-Y51-8-128GB-GARANSI-RESMI-VIVO-INDONESIA-i.9344346.232361298","VIVO Y51 8/128GB GARANSI RESMI VIVO INDONESIA","Rp3.399.000"
